Epoch,gpu_mem,box,obj,cls,total,labels,img_size,P,R,mAP@.5,mAP@.5:.95,dummy_1,dummy_2,dummy_3
56/249,10.8G,0.05803,0.004318,0,0.06235,17,640,0.2319,0.1782,0.1092,0.0274,0.1054,0.006867,0
57/249,10.8G,0.05654,0.004151,0,0.06069,30,640,0.2415,0.2314,0.1637,0.04036,0.104,0.006605,0
58/249,10.8G,0.05483,0.00436,0,0.05919,13,640,0.3067,0.375,0.2728,0.08159,0.1011,0.006448,0
59/249,10.8G,0.05531,0.004171,0,0.05948,20,640,0.414,0.3131,0.2822,0.08996,0.0998,0.006378,0
60/249,10.8G,0.0526,0.004222,0,0.05682,19,640,0.4787,0.3307,0.3196,0.1019,0.09993,0.006231,0
61/249,10.8G,0.05197,0.004117,0,0.05608,21,640,0.3893,0.3911,0.3314,0.09919,0.1001,0.006135,0
62/249,10.8G,0.05311,0.004219,0,0.05733,37,640,0.5358,0.3725,0.3669,0.1268,0.09934,0.005989,0
63/249,10.8G,0.0529,0.004149,0,0.05705,21,640,0.4279,0.3564,0.3346,0.1161,0.0997,0.006074,0
64/249,10.8G,0.05383,0.00419,0,0.05802,10,640,0.5845,0.37,0.4041,0.147,0.09836,0.006016,0
65/249,10.8G,0.05226,0.004152,0,0.05642,7,640,0.5152,0.4332,0.4216,0.1411,0.09891,0.00584,0
